,beta,momentum,volatility,liquidity,autocorrelation,spread
ANDV,1.5155496206918728,0.06373925460797958,0.023914101037545387,3812575.125,-0.045028795316744905,0.03298738111683647
APA,1.3066382062966209,-0.025637213973543904,0.01863836848731195,3433607.5,-0.027707860469157217,0.025498320519961093
CVX,1.0685575994775633,0.03892649744852417,0.012489407725574967,8733797.5,-0.09113602610172478,0.017109340955078184
COP,1.1498789844605024,0.03981705777231781,0.01558792262768702,11373195.15,-0.03907294861654673,0.020341238595457334
DVN,1.2910899500869457,-0.04436743520047082,0.01900151600952484,3948382.5,-0.045795064319189005,0.026126295822924278
EOG,1.3027435396621434,-0.034844984021417225,0.02049699232190646,5102535.0,-0.0543333738527092,0.026773675898455307
EQT,1.1793820961339843,-0.09128825894582704,0.01686218974909168,2402874.125,-0.03586641569768542,0.02104019842257604
XOM,0.9701579012453918,0.03461710847206989,0.011855991593729864,19286355.0,-0.13046519890662783,0.015106079340299366
HAL,1.4035262597288243,0.019352615536473827,0.019918137418435577,13498432.5,0.006454103910759216,0.026540123377475994
HP,1.4914826473239116,-0.005780331965838936,0.022215723670160746,1526882.5,0.004445849747454274,0.02885981883238148
HES,1.4425107265761157,0.11455157080530465,0.020734883966961028,3790573.275,-0.036726087713048146,0.026969435383401547
KMI,0.949482548529145,-0.036295612382568954,0.013290642401417519,6743480.0,0.0587894458918545,0.01668430906368401
MPC,1.4135959879672888,0.05467099755733318,0.019951531819822024,6524375.0,0.03009315840617145,0.026494230622506887
NOV,1.5972564773906601,-0.003990422984836428,0.022195517892943082,5289192.375,-0.024312221827443557,0.028502884280792923
NFX,1.4841518380995924,-0.12166559392957665,0.023885700640747465,2121970.0,-0.012453850542609102,0.03108390574313391
OXY,1.3255541290883917,0.010344158586346186,0.01715872620991438,5375664.65,-0.07266901570704047,0.022247528332121624
OKE,1.0794192924835817,0.05494289838761213,0.01376559474086748,1658046.0499999998,0.001875743557331272,0.017762443354131102
PSX,1.2727798716201304,0.016827251266519294,0.015776035449765323,3581270.0,0.06921935356667028,0.01987511333944869
RRC,1.2748348401376781,-0.06042781873824521,0.02389534146712519,2283802.5,-0.025993805570597155,0.03143586831939371
SLB,1.302052667136916,-0.0019296699516195837,0.01754514391720914,8789380.0,-0.059289569094610854,0.023536024295244762
FTI,1.3824119015839071,0.023919274358984,0.020363624232720517,3643792.3,-0.06575632008077797,0.026498302260436896
VLO,1.3888186655015715,0.12869677115460876,0.020841025273988695,10362772.825,0.010248381270007158,0.028262057879862468
WMB,1.4488707298205272,0.043959950360563216,0.01776854560071044,7165970.25,-0.02146478898232363,0.023322183895822995
