,beta,momentum,volatility,liquidity,autocorrelation,spread
ACN,1.0132731766025398,-0.004504385059185934,0.012008100270449655,3077450.0,0.014649097585071186,0.013891807839552794
ADBE,1.1454443466080413,0.034569337133591116,0.01501283939360059,3836275.0,-0.046106197597446476,0.017731301573367553
AMD,1.6558428917039534,0.3516090212812586,0.030745980175013107,20964095.0,-0.008720798141083001,0.03451561258523306
AKAM,1.3347554070939034,0.049913432017329784,0.01828641916975164,2611370.0,0.003076623176130409,0.021533599963805883
GOOGL,0.9741329349652869,0.036790473105292376,0.013136444393825511,85496418.0,0.019629460816162417,0.015558926318606447
GOOG,0.974477429670058,0.031955288803422466,0.013052565109382273,85059232.3,0.020230336053501864,0.01538430925823353
APH,1.2180010487820399,0.009238467004973216,0.012349530019070788,5560280.0,-0.0032874592431511,0.014540493923826059
ADI,1.1656577931233283,0.05231129216449837,0.014137726284314742,2487855.0,-0.03646398754627459,0.016288283302101414
ANSS,1.055230427197885,-0.01196456296634374,0.01296349124795794,403123.9,-0.0025641224490858677,0.015154533439512341
AAPL,0.9459748910336806,0.05781347624519673,0.014561543711575746,345770320.0,0.022087867401143782,0.01773688236744031
AMAT,1.2350510697256774,0.07209310899054167,0.016050336245329783,14572900.0,-0.004228793461919609,0.019708993144892162
ADSK,1.4917874091196746,0.06919966528539567,0.018040408179532025,2754675.0,0.018347801281765632,0.021934474396756887
ADP,0.9012842684087986,0.07960642120360273,0.009711600561351202,2220702.8,-0.06713096675586161,0.01185201277692638
AVGO,1.2909475480235513,0.09208520932692354,0.02080323157631943,23406500.0,-0.03298071810211023,0.023481623669037943
CDNS,1.1247537343677823,0.0015885229425707248,0.014507034248405742,3018830.0,-0.004323015297042191,0.017656121318039175
CSCO,1.0410506522302732,0.026146011538302982,0.012502871747878464,37650715.0,-0.011038035912437415,0.014603489899383537
CTSH,1.2544918796864102,0.03605780965993355,0.015505071957972266,4598470.0,-0.062390019297100134,0.01865566343077585
GLW,1.2520040751942179,0.03144930939586921,0.015268539335108036,12181820.0,0.008052755859296485,0.017701508147734524
CSRA,0.8569745398512613,0.002850656252514794,0.02013182337544097,1380197.0,0.09891748468540221,0.02404743447512714
DXC,1.2413600948668868,0.004547288334817878,0.015136158018405722,2568619.05,-0.027297760808211325,0.01710819533388297
