,beta,momentum,volatility,liquidity,autocorrelation,spread
APD,0.7849542274134542,0.008448314802109946,0.0163217214359819,1027847.3,0.015064882997545407,0.021501779413886424
ALB,0.6953270891740392,-0.0231566616488742,0.017683502266921614,234650.0,-0.16633322013897112,0.02338604650052839
AVY,0.706646087495398,0.015580442417496565,0.016810361133924725,449860.0,-0.04478697166475057,0.019463008748728527
EMN,0.7542831346794665,0.07982183806518184,0.017296446156023437,1058840.0,-0.05218843009002453,0.020880267924294038
ECL,0.6855955608300023,0.0005524210419720621,0.01396967199805622,786945.0,-0.03140216309616607,0.018603555660553328
FMC,0.7632440487823027,-0.019288772323449832,0.01886820090149565,1196767.95,-0.04708814861053599,0.02418174071666468
FCX,0.6048628447846459,0.029002339742783212,0.02718687568034038,2829780.0,-0.05732397140460143,0.03400824770254268
IP,0.8113103651747203,0.01034394215511103,0.01682953817771552,2909502.2,-0.022557453023691255,0.023169104907006854
IFF,0.5287780913841972,0.04560805493240605,0.014133811676266546,389515.0,-0.058820306219969115,0.016704698284147723
MLM,0.6468605903551891,0.05236336558918664,0.016858796513029642,200085.0,0.02572222575492325,0.020648463966936703
NEM,-0.14073391708953875,-0.031828742072665506,0.025842996410341417,4256815.0,-0.10672039368692258,0.03311991092435135
NUE,0.8787587982596295,0.0423968407803641,0.022720094904706452,2852420.0,-0.021264142423725967,0.029336538937469347
PKG,0.6000066347303046,0.016625960245161497,0.01780321837177739,288275.0,-0.10566005204645439,0.02196499733712498
PPG,0.8273427204119171,0.002352593226311761,0.01622750531009346,1337140.0,-0.03753817388965801,0.021721720965759306
SEE,0.7465707509188887,0.029968696400779926,0.01680509216837505,1147190.0,0.04853382056785504,0.022241517501915165
SHW,0.7337891340863079,0.0015710257455607834,0.01669995307808042,1895280.0,-0.10063810394261902,0.020164740330911368
MOS,0.8463228179965474,-0.10329663609471795,0.0266352850548731,658600.0,-0.049766149316948234,0.032275038949202806
VMC,0.6944028144742416,0.038607578680809995,0.015446608048022826,249050.0,-0.04917162505155316,0.01772503943584397
